User Query,incident,incident_L2_score,incident_predicted,incident_true,policy,policy_L2_score,policy_predicted,policy_true
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'data breach and information leak of ioe students on the dark web the institute of engineering ioe experienced a significant data breach where sensitive student information including names addresses birth dates and phone numbers was leaked onto the dark web the data was found to be for sale through the bridge forum putting thousands of students at risk the breach affected students from multiple campuses affiliated with ioe including pulchok campus thapathali campus west manchal campus preachal and ioi ',0.30678225,1,1,'punishment for unauthorized access if a person accesses a computer computer system or network without authorization and causes damage or disruption heshe shall be punished with imprisonment up to 3 years or a fine up to 200000 rupees or both ',1.1412512,1,1
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'engineering study data of 7000 nepali students sold through the dark web sensitive data of 7000 nepali students studying engineering has been found for sale on the dark web the hacker using the pseudonym boxh  d posted the data on the bridge forum claiming to have obtained it from various private campuses including pulchok campus thapathali campus west manchal campus and preachal campus the leaked data contains students names addresses dates of birth and phone numbers the hacker posted the data in a json format and included some student details as evidence the data leak was first noticed on january 1st ',0.41089317,1,1,'punishment for data breach and privacy violations on facebook if a person illegally accesses shares or uses private information obtained from facebook without consent leading to a breach of privacy heshe shall be punished with imprisonment up to 3 years or a fine up to 300000 rupees or both ',1.1579442,1,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'lakshmi capital market hack liked on the dark web customer data a hacker group named killsek has leaked sensitive data from lakshmi capital a financial institution in nepal the data was made public on the dark web after the group demanded a ransom of 10000 euros approximately 1 million npr the leaked data includes the source code database ssl certificate and sensitive customer information such as citizenship numbers the data which was kept in a zip file was uploaded to the dark web after the ransom was not paid ',0.7103747,1,0,'punishment for unauthorized access and data theft individuals convicted of unauthorized access to data or data theft may face imprisonment and fines as specified under the child rights act of 2075 ',1.2017392,0,1
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'dean leadership committee investigating 16yearold teens hacking the triwico website the university of tribhuvan trivi has formed a threemember committee to investigate the hacking of the exam control office panika website the hack was allegedly carried out by 16yearold teens disrupting online services for students including transcripts promotional certificates and copies the committee coordinated by dr shashidharam joshi aims to submit a report and suggest measures to prevent such incidents in the future ',0.80251133,1,0,'punishment for unauthorized access to facebook accounts if a person gains unauthorized access to a facebook account through hacking phishing or any other means and uses or distributes the accounts information unlawfully heshe shall be punished with imprisonment up to 2 years or a fine up to 150000 rupees or both ',1.2407258,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'hacker selling data from the ministry of general administration of nepal for 0 on the dark web data from the ministry of federal affairs and general administration of nepal was found for sale on the dark web by the south asian hacker group fanksek the group posted the ministrys data for sale at a price of 0 usd including access to the super admin panel of the ministrys website the group is known for politically and ideologically motivated cyber attacks targeting government and public institutions the hacker group has offered the data for sale with the price negotiable the information on the dark web includes budget details circular instructions and other sensitive government data ',0.8546716,1,0,'punishment for cyber terrorism any person who commits cyber terrorism or causes harm to national security or public order through electronic means shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.2639806,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'hacker selling ministry of general administration data on the dark web data from the ministry of federal affairs and general administration of the government of nepal is being sold on the dark web for 0 us dollars by the hacker group fanksek the data includes super admin panel access and other sensitive government information ',0.8966849,1,0,'punishment for pirating destroying or altering computer source data if a person knowingly or with malafide intention pirates destroys or alters computer source code used for any computer computer program computer system or computer network or causes others to do so heshe shall be punished with imprisonment not exceeding three years or a fine not exceeding two hundred thousand rupees or both ',1.2649142,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'the website hack of the madhes pradesh lok service commission is being promoted to crypto the website of the madhes pradesh lok service commission has been hacked and redirected to cryptocurrency promotional pages upon visiting the site users are redirected to cryptocurrency advertisements and other spam sites cyber security expert victory limbu confirmed that the website was hacked and cautioned that this puts user data at risk hacked government websites often result in the exposure of sensitive user data which could be misused for criminal activities the authorities have initiated an investigation into the hack and limbu advised against visiting the compromised website ',0.9145632,1,0,'citizen data protection guidelines and regulations for protecting citizen data including responsibilities of entities handling citizen information and measures for data security ',1.2677972,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'killsek group leaks data from laxmi capital on dark web the killsek hacker group has leaked data from nepals financial institution laxmi capital now laxmi sunrise capital on the dark web the leak occurred after the group demanded a ransom of 10000 euros approximately 144 million npr which was not paid the leaked data hosted on killseks dark web site includes 494 mb of files in a zipped format ',0.92107195,1,0,'compensation for victims victims of cyber crimes may seek compensation through legal proceedings and the courts may award damages based on the severity of the crime and the loss suffered ',1.300106,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'mp gyanendra royal liquor thousandar personal data with general phone number and address mp gyanendra royals post on facebook led to the disclosure of thousands of peoples personal information including names phone numbers and addresses many users shared their details in response to his request raising concerns about cybersecurity ',0.95737743,1,0,'punishment for online fraud via facebook if a person commits fraud on facebook including creating fake profiles for financial gain scamming users or engaging in deceptive practices heshe shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.3629148,0,0
Recently Institute of engineering got hacked and all the students data is leaked in the dark web.,'vianet data breach case an anonymous hacker breached and leaked the personal details of approximately 176000 vianet customers including names locations email addresses and phone numbers the hacker exploited an idor vulnerability in vianets systems ',0.9922262,1,0,'punishment for facilitating access to pornographic content by minors if a person facilitates provides or fails to prevent access to pornographic content to individuals under the age of 18 heshe shall be punished with imprisonment up to 3 years or a fine up to 500000 nepalese rupees or both ',1.372743,0,0
Someone created deepfake videos of my friend and posted on social media.,'circulation of a complete video on social media rishi raj jha posted a video on facebook claiming that gyanendra singh had sent him the video the video was shared on social media leading to an investigation and legal action for spreading false information ',0.83334935,1,1,'punishment for online fraud via facebook if a person commits fraud on facebook including creating fake profiles for financial gain scamming users or engaging in deceptive practices heshe shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.1287497,1,1
Someone created deepfake videos of my friend and posted on social media.,'blackmail using obscene activities pathibhara mata created a fake facebook account to solicit photos and videos from victims under the pretense of job offers blackmailing them with threats of public exposure ',0.8492901,1,1,'punishment for spreading misinformation or fake news on facebook if a person spreads false information or fake news on facebook with the intent to deceive or cause harm leading to public disturbance or other adverse effects heshe shall be punished with imprisonment up to 2 years or a fine up to 200000 rupees or both ',1.1369545,1,1
Someone created deepfake videos of my friend and posted on social media.,'deputy mayor dungol files complaint against fake ai video and social media harassment deputy mayor sunita dungol of kathmandu has filed a complaint with the cyber bureau after ai technology was used to create a fake video and spread defamatory content about her the fake video using deepfake technology depicted a scene with her and mayor balen shah dungol has also requested the closure of fake social media accounts created in her name particularly a facebook page that continues to operate despite previous requests for its removal ',0.92705786,1,1,'punishment for data breach and privacy violations on facebook if a person illegally accesses shares or uses private information obtained from facebook without consent leading to a breach of privacy heshe shall be punished with imprisonment up to 3 years or a fine up to 300000 rupees or both ',1.1902211,1,1
Someone created deepfake videos of my friend and posted on social media.,'fraudulent activities through social media platforms two individuals used platforms like tiktok facebook and whatsapp to commit fraud by misleading victims with fake messages such as you won a lucky draw for an iphone and demanding money for customs clearance ',0.9383497,1,0,'punishment for unauthorized access to facebook accounts if a person gains unauthorized access to a facebook account through hacking phishing or any other means and uses or distributes the accounts information unlawfully heshe shall be punished with imprisonment up to 2 years or a fine up to 150000 rupees or both ',1.1949931,1,0
Someone created deepfake videos of my friend and posted on social media.,'scan and hark sampangs fake video live scam on social network fraud involving old videos of famous figures including hark sampang being circulated as live videos to deceive the public into participating in fake prize offers on facebook ',0.9475961,1,0,'punishment for cyber harassment on facebook if a person uses facebook to harass intimidate or threaten another individual including sending abusive messages or posting harmful content heshe shall be punished with imprisonment up to 1 year or a fine up to 100000 rupees or both ',1.2049866,0,1
Someone created deepfake videos of my friend and posted on social media.,'misuse of celebrity female artists names for sending obscene messages making inappropriate comments and misusing photos by creating fake accounts a person was found misusing the name of a celebrity female artist by creating a fake facebook account under the name marriage full videos the account was used to post edited photos and troll videos with inappropriate and socially unacceptable statuses ',0.9700539,1,0,'punishment for uploading and sharing pornographic content on social media if a person uploads shares or posts pornographic content on social media platforms without consent or in violation of the platforms terms heshe shall be punished with imprisonment up to 5 years or a fine up to 750000 nepalese rupees or both ',1.2067069,0,1
Someone created deepfake videos of my friend and posted on social media.,'students penalized for creating deepfake explicit images using ai in spain students used ai to create and share explicit deepfake images of their female classmates the incident which involved students aged 13 to 15 led to a court ruling that banned 15 students from using ai for a year the use of deepfake technology in this manner has raised concerns among parents and sparked a broader debate on the impact of such technology ',0.9794662,1,0,'punishment for production of pornographic content without consent if a person produces or records pornographic content involving individuals without their consent heshe shall be punished with imprisonment up to 8 years or a fine up to 1500000 nepalese rupees or both ',1.2909356,0,0
Someone created deepfake videos of my friend and posted on social media.,'misuse of facebook for defamation an individual misused facebook to befriend victims and engage in conversations leading to the sharing of confidential photos which were later used to defame the victims character the individual krishna prasad adhikari aged 19 from tanahun district bhanu municipality ward no 9 was arrested under the electronic transactions act 2063 ',1.0043862,1,0,'liability of intermediaries intermediaries such as online platforms are not liable for usergenerated content unless they fail to act upon receiving knowledge of the unlawful content ',1.3131031,0,0
Someone created deepfake videos of my friend and posted on social media.,'arrest for character assassination and harassment of minors using social media photos an individual was arrested for downloading photos of minors from social media platforms like facebook and using them for character assassination and harassment the individual created fake accounts and sent inappropriate messages the cyber bureau conducted the investigation and arrested the individual ',1.0079894,1,0,'punishment for publishing offensive material if a person publishes or displays material against morals etiquette hatred or malice on a computer internet and other electronic media the culprit can be punished with a fine of 1 lakh rupees or imprisonment for up to 5 years or both ',1.3304539,0,0
Someone created deepfake videos of my friend and posted on social media.,'porn content on facebook the aviation governor of nepal says hacked that the facebook account of pradip officer director general of the civil aviation authority of nepal was found to have posted pornographic material the posts were discovered to have been published on may 1 and june of 2011 several people were tagged in these posts the officer suspects his account was hacked and has mentioned that he does not frequently use facebook only occasionally checking it despite this he acknowledged the content was posted from his account the officers it team is investigating the issue the tourism minister kiranti responded that no official explanation would be given as the officer was appointed by the council of ministers ',1.0157313,1,0,'punishment for distribution of illegal pornographic content if a person distributes shares or sells pornographic content that is illegal under local laws including content involving minors or nonconsensual material heshe shall be punished with imprisonment up to 7 years or a fine up to 1000000 nepalese rupees or both ',1.3803781,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'hacker steals rs 4 million from multiple bank accounts due to delayed action by bank employees khadg prasin a kathmandu resident became a victim of an online banking scam after receiving an otp for a fraudulent rs 1 million transfer from his sanima bank account despite contacting the bank immediately to block his account the bank staff failed to act promptly by the time he arrived at the bank rs 1 million had already been transferred the hacker also accessed khadgs accounts in global ime bank sunrise bank and nic asia stealing a total of rs 4 million khadg believes his gmail and mobile accounts were compromised after clicking on a suspicious link and he accuses the bank staff of negligence for not acting quickly enough to prevent the theft ',0.74709,1,1,'compensation for victims victims of cyber crimes may seek compensation through legal proceedings and the courts may award damages based on the severity of the crime and the loss suffered ',1.1681508,1,1
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'attempt to sell national banks source code on the dark web the source code of nepals national bank system was found to be listed for sale for 10000 usd approximately 1 million npr on the dark web navaraj lamichane a 28yearold resident of birauta pokhara was arrested after an investigation linked him to the sale attempt the cyber bureau of nepal following a report from the national bank traced the source of the sale attempt to lamichanes location several items were seized from his residence including mobile phones a computer hard drives a memory card and a router ',0.98682183,1,1,'punishment for online fraud via facebook if a person commits fraud on facebook including creating fake profiles for financial gain scamming users or engaging in deceptive practices heshe shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.296002,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'cyber attacks on banks in more than 20 countries including nepal spread malware nepali cyber security company bhairav tech has uncovered a sophisticated cyber attack targeting financial institutions in over 20 countries including nepal the attack attributed to a team of cybercriminals involves a phishing campaign aimed at stealing sensitive user information from trusted financial platforms worldwide the attackers are using malware to compromise the security of financial systems in europe asia africa and beyond ',0.99753815,1,1,'punishment for unauthorized access to facebook accounts if a person gains unauthorized access to a facebook account through hacking phishing or any other means and uses or distributes the accounts information unlawfully heshe shall be punished with imprisonment up to 2 years or a fine up to 150000 rupees or both ',1.3185991,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'scam on whatsapp using names and photos of bank and financial institution ceos a new scam has emerged on whatsapp where fraudsters are using the names and photos of prominent figures from banks and financial institutions to deceive people and extort money the scammers have misused the identities of the governor general of the central bank ceos of siddhartha bank guranas life insurance ime group and nepal clearing house limited they use these names and images to falsely ask for money affected individuals include employees of the mentioned institutions authorities are investigating the origins of the fraud and are filing complaints with the cyber bureau ',1.0235885,1,1,'liability of intermediaries intermediaries such as online platforms are not liable for usergenerated content unless they fail to act upon receiving knowledge of the unlawful content ',1.3522435,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'imtiaz ahmed online fraud case imtiaz ahmed from siraha lahan was arrested for committing online fraud and abusing various social media platforms he deceived victims by pretending to be a foreign bank manager claiming to send valuable items and demanding taxes for the goods he also used fraudulent excuses to request money extracting approximately rs 100000 from various individuals ahmed was involved in operating fraudulent accounts and atm cards and the stolen money was distributed to india ',1.0339192,1,1,'punishment for unauthorized access and data theft individuals convicted of unauthorized access to data or data theft may face imprisonment and fines as specified under the child rights act of 2075 ',1.3857619,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'unauthorized access to fwan softs account to steal large sums of money researching cyber bureau a large sum of money has been stolen from fwan softs account due to unauthorized access the company filed a complaint with the cyber bureau about the theft an investigation is underway to determine how the money was stolen and to identify those responsible ',1.0350653,1,1,'punishment for data breach and privacy violations on facebook if a person illegally accesses shares or uses private information obtained from facebook without consent leading to a breach of privacy heshe shall be punished with imprisonment up to 3 years or a fine up to 300000 rupees or both ',1.4563811,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'dangerous fake site in the name of online news this is how the facebook user is trapped a rise in phishing activities targeting nepali internet users has been observed with fake online news sites being promoted through facebook ads these sites disguised as legitimate news websites are used to spread stiller malware designed to steal private and confidential data one such incident involved the hacking of a facebook page with over 4 million followers the page manoj threat was misused to post a phishing link under the guise of online news clicking on the link redirects users to a fake website which steals sensitive data such as social network credentials mobile banking details and digital wallet information ',1.0505594,1,0,'punishment for pirating destroying or altering computer source data if a person knowingly or with malafide intention pirates destroys or alters computer source code used for any computer computer program computer system or computer network or causes others to do so heshe shall be punished with imprisonment not exceeding three years or a fine not exceeding two hundred thousand rupees or both ',1.4825037,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'lakshmi capital market hack liked on the dark web customer data a hacker group named killsek has leaked sensitive data from lakshmi capital a financial institution in nepal the data was made public on the dark web after the group demanded a ransom of 10000 euros approximately 1 million npr the leaked data includes the source code database ssl certificate and sensitive customer information such as citizenship numbers the data which was kept in a zip file was uploaded to the dark web after the ransom was not paid ',1.0600607,1,0,'punishment for spreading misinformation or fake news on facebook if a person spreads false information or fake news on facebook with the intent to deceive or cause harm leading to public disturbance or other adverse effects heshe shall be punished with imprisonment up to 2 years or a fine up to 200000 rupees or both ',1.4950542,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'fraudulent activities through social media platforms two individuals used platforms like tiktok facebook and whatsapp to commit fraud by misleading victims with fake messages such as you won a lucky draw for an iphone and demanding money for customs clearance ',1.063364,1,0,'punishment for unauthorized access if a person accesses a computer computer system or network without authorization and causes damage or disruption heshe shall be punished with imprisonment up to 3 years or a fine up to 200000 rupees or both ',1.4978546,0,0
"Someone sent me a link on my email, when I clicked on that link all my money in my bank account got stolen.",'cyber bureau warns about fake social media accounts targeting bank and wallet accounts the cyber bureau of the nepal police has issued a warning regarding the increasing cases of fraud involving fake social media profiles these profiles often using photos of foreign nationals are used by criminals to gain trust and manipulate individuals into sharing their bank and wallet account details victims have been tricked into providing sensitive information such as online banking ids passwords atm cards and otp codes under false pretenses such as love or trust the bureau emphasized the legal risks of such activities and urged citizens to be cautious ',1.0747634,1,0,'punishment for cyber terrorism any person who commits cyber terrorism or causes harm to national security or public order through electronic means shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.5213451,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'dangerous fake site in the name of online news this is how the facebook user is trapped a rise in phishing activities targeting nepali internet users has been observed with fake online news sites being promoted through facebook ads these sites disguised as legitimate news websites are used to spread stiller malware designed to steal private and confidential data one such incident involved the hacking of a facebook page with over 4 million followers the page manoj threat was misused to post a phishing link under the guise of online news clicking on the link redirects users to a fake website which steals sensitive data such as social network credentials mobile banking details and digital wallet information ',0.79388064,1,1,'punishment for unauthorized access to facebook accounts if a person gains unauthorized access to a facebook account through hacking phishing or any other means and uses or distributes the accounts information unlawfully heshe shall be punished with imprisonment up to 2 years or a fine up to 150000 rupees or both ',0.9812146,1,1
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'cyber bureau warns against tempting links promising online jobs and free services the cyber bureau has issued a warning regarding suspicious links being shared on social media platforms particularly facebook the links claim to offer online data entry jobs free iltspte exam preparation classes and stock business analysis training however the cyber bureau cautioned that clicking on these links could lead to malware downloads giving hackers control over personal devices such as laptops desktops and mobiles the hackers aim to monitor internet activity and access sensitive financial data like digital wallets and bank accounts the bureau has advised the public to ignore such links and avoid trusting these offers ',0.9826296,1,1,'punishment for online fraud via facebook if a person commits fraud on facebook including creating fake profiles for financial gain scamming users or engaging in deceptive practices heshe shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.0738277,1,1
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'fraudulent activities through social media platforms two individuals used platforms like tiktok facebook and whatsapp to commit fraud by misleading victims with fake messages such as you won a lucky draw for an iphone and demanding money for customs clearance ',1.0391108,1,1,'compensation for victims victims of cyber crimes may seek compensation through legal proceedings and the courts may award damages based on the severity of the crime and the loss suffered ',1.1925154,1,1
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'arrest of a person committing cybercrime while abroad the perpetrator hacked the victims facebook account engaged in inappropriate conversations with the victims spouse created a fake account and blackmailed the victim causing mental distress ',1.0800829,1,0,'punishment for data breach and privacy violations on facebook if a person illegally accesses shares or uses private information obtained from facebook without consent leading to a breach of privacy heshe shall be punished with imprisonment up to 3 years or a fine up to 300000 rupees or both ',1.2618405,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'hacker steals rs 4 million from multiple bank accounts due to delayed action by bank employees khadg prasin a kathmandu resident became a victim of an online banking scam after receiving an otp for a fraudulent rs 1 million transfer from his sanima bank account despite contacting the bank immediately to block his account the bank staff failed to act promptly by the time he arrived at the bank rs 1 million had already been transferred the hacker also accessed khadgs accounts in global ime bank sunrise bank and nic asia stealing a total of rs 4 million khadg believes his gmail and mobile accounts were compromised after clicking on a suspicious link and he accuses the bank staff of negligence for not acting quickly enough to prevent the theft ',1.0843966,1,0,'punishment for cyber harassment on facebook if a person uses facebook to harass intimidate or threaten another individual including sending abusive messages or posting harmful content heshe shall be punished with imprisonment up to 1 year or a fine up to 100000 rupees or both ',1.283667,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'vietnamese hacker takes control of finance ministers facebook page a vietnamese hacker took control of finance minister prakasharan mahats official facebook page on june 1 the page was restored after a month of control by the hacker with the help of the technical team from the finance ministers office the page had been inaccessible after the loss of the old password and was brought back with assistance from meta no unauthorized posts were made during the period of control ',1.1090052,0,0,'punishment for spreading misinformation or fake news on facebook if a person spreads false information or fake news on facebook with the intent to deceive or cause harm leading to public disturbance or other adverse effects heshe shall be punished with imprisonment up to 2 years or a fine up to 200000 rupees or both ',1.2849778,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'two young men arrested for fraud using fake facebook id stole 1 million rupees two individuals were arrested for committing fraud by creating a fake facebook id under the name neyha gurung to deceive people they were able to manipulate others and steal 1 million rupees through fraudulent means the police investigation based on information about the fraud led to their arrest ',1.111219,0,0,'liability of intermediaries intermediaries such as online platforms are not liable for usergenerated content unless they fail to act upon receiving knowledge of the unlawful content ',1.5200672,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'cyber bureau warns about fake social media accounts targeting bank and wallet accounts the cyber bureau of the nepal police has issued a warning regarding the increasing cases of fraud involving fake social media profiles these profiles often using photos of foreign nationals are used by criminals to gain trust and manipulate individuals into sharing their bank and wallet account details victims have been tricked into providing sensitive information such as online banking ids passwords atm cards and otp codes under false pretenses such as love or trust the bureau emphasized the legal risks of such activities and urged citizens to be cautious ',1.1267526,0,0,'punishment for unauthorized access and data theft individuals convicted of unauthorized access to data or data theft may face imprisonment and fines as specified under the child rights act of 2075 ',1.5467097,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'cyber bureau warns about fake social media accounts targeting bank and wallet accounts the cyber bureau of the nepal police has issued a warning regarding the increasing cases of fraud involving fake social media profiles these profiles often using photos of foreign nationals are used by criminals to gain trust and manipulate individuals into sharing their bank and wallet account details victims have been tricked into providing sensitive information such as online banking ids passwords atm cards and otp codes under false pretenses such as love or trust the bureau emphasized the legal risks of such activities and urged citizens to be cautious ',1.1267526,0,0,'punishment for cyber terrorism any person who commits cyber terrorism or causes harm to national security or public order through electronic means shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.5495068,0,0
"I became a victim of a phishing attack, someone sent me a link regarding free gifts but when I clicked my Facebook account got hacked.",'misuse of facebook for defamation an individual misused facebook to befriend victims and engage in conversations leading to the sharing of confidential photos which were later used to defame the victims character the individual krishna prasad adhikari aged 19 from tanahun district bhanu municipality ward no 9 was arrested under the electronic transactions act 2063 ',1.1339059,0,0,'punishment for unauthorized access if a person accesses a computer computer system or network without authorization and causes damage or disruption heshe shall be punished with imprisonment up to 3 years or a fine up to 200000 rupees or both ',1.5928173,0,0
Someone hacked my computer and stole the source code.,'computer source code theft arrest an individual was arrested for unauthorized access and theft of the source code of neo hris software the suspect attempted to sell the stolen code ',0.7644653,1,1,'punishment for pirating destroying or altering computer source data if a person knowingly or with malafide intention pirates destroys or alters computer source code used for any computer computer program computer system or computer network or causes others to do so heshe shall be punished with imprisonment not exceeding three years or a fine not exceeding two hundred thousand rupees or both ',1.2865925,0,1
Someone hacked my computer and stole the source code.,'attempt to sell national banks source code on the dark web the source code of nepals national bank system was found to be listed for sale for 10000 usd approximately 1 million npr on the dark web navaraj lamichane a 28yearold resident of birauta pokhara was arrested after an investigation linked him to the sale attempt the cyber bureau of nepal following a report from the national bank traced the source of the sale attempt to lamichanes location several items were seized from his residence including mobile phones a computer hard drives a memory card and a router ',1.0873657,1,1,'punishment for unauthorized access if a person accesses a computer computer system or network without authorization and causes damage or disruption heshe shall be punished with imprisonment up to 3 years or a fine up to 200000 rupees or both ',1.4273701,0,1
